element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
31,32,33,58,57,1.00000056e+06,5.15895504e+00,2.08538959e+00,9.99997976e+05
32,33,34,59,58,9.99999988e+05,-8.27197537e-01,-3.81648373e-01,1.00000040e+06
33,34,35,60,59,9.99999998e+05,9.62410590e-02,-7.66299212e-03,9.99999950e+05
34,35,36,61,60,9.99999999e+05,-2.49110956e-02,4.95840716e-03,1.00000001e+06
35,36,37,62,61,1.00000000e+06,8.25743187e-03,2.92743091e-03,9.99999996e+05
36,37,38,63,62,1.00000000e+06,-1.57826193e-03,-1.24976558e-03,1.00000000e+06
37,38,39,64,63,1.00000000e+06,1.53070219e-04,2.03637282e-04,1.00000000e+06
38,39,40,65,64,1.00000000e+06,-1.93746296e-05,-2.78487097e-05,1.00000000e+06
39,40,41,66,65,1.00000000e+06,1.02902057e-05,1.10956572e-05,1.00000000e+06
40,41,42,67,66,1.00000000e+06,-3.36681631e-06,-4.19746200e-06,1.00000000e+06
41,42,43,68,67,1.00000000e+06,6.43274879e-07,9.85871421e-07,1.00000000e+06
42,43,44,69,68,1.00000000e+06,-1.13911169e-07,-1.70271540e-07,1.00000000e+06
43,44,45,70,69,1.00000000e+06,3.49110365e-08,3.73313482e-08,1.00000000e+06
44,45,46,71,70,1.00000000e+06,-1.26584811e-08,-6.58486671e-10,1.00000000e+06
45,46,47,72,71,1.00000000e+06,5.74992276e-09,1.20437497e-08,1.00000000e+06
46,47,48,73,72,1.00000000e+06,-4.34771980e-09,6.39957825e-09,1.00000000e+06
47,48,49,74,73,1.00000000e+06,3.17585148e-09,1.03134406e-08,1.00000000e+06
48,50,51,76,75,9.86343179e+05,1.43963613e+05,1.39023158e+04,9.23136331e+05
49,51,52,77,76,1.01759108e+06,-5.70940190e+03,-3.14029811e+03,1.02047226e+06
50,52,53,78,77,1.00042370e+06,-7.78381226e+03,-1.80558464e+03,1.00434310e+06
51,53,54,79,78,9.98856725e+05,1.08632179e+03,5.31607548e+02,9.98314432e+05
52,54,55,80,79,1.00016304e+06,2.51820911e+02,1.28346053e+01,1.00003715e+06
53,55,56,81,80,1.00001478e+06,-8.19843391e+01,-3.01031780e+01,1.00005578e+06
