element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
894,911,912,963,962,1.00000000e+06,4.29473872e-09,2.36028989e-09,1.00000000e+06
895,912,913,964,963,1.00000000e+06,-5.99969761e-09,-3.45491708e-09,1.00000000e+06
896,913,914,965,964,1.00000000e+06,-8.76594812e-09,1.81069582e-08,1.00000000e+06
897,914,915,966,965,1.00000000e+06,8.98738846e-09,-2.16644965e-10,1.00000000e+06
898,915,916,967,966,1.00000000e+06,3.94456834e-09,3.36597862e-08,1.00000000e+06
899,916,917,968,967,1.00000000e+06,-1.42291635e-08,-6.22569216e-09,1.00000000e+06
900,918,919,970,969,1.04135267e+06,1.50208884e+05,-1.03611270e+05,9.91344320e+05
901,919,920,971,970,9.74926546e+05,-1.60042636e+04,1.18010868e+04,9.83238875e+05
902,920,921,972,971,9.75564382e+05,-1.36950939e+03,1.07053291e+04,9.76425930e+05
903,921,922,973,972,9.93949144e+05,3.12603272e+02,2.59072245e+03,9.93803010e+05
904,922,923,974,973,9.98833312e+05,-4.10169297e+02,9.82310348e+02,9.99039909e+05
905,923,924,975,974,1.00028552e+06,7.00252105e+01,-5.92113169e+01,1.00025052e+06
906,924,925,976,975,1.00023378e+06,-1.46588948e+01,-7.58240572e+01,1.00024112e+06
907,925,926,977,976,1.00009168e+06,1.13007990e+01,-4.62918829e+01,1.00008604e+06
908,926,927,978,977,1.00001770e+06,3.75966051e-01,-1.07735130e+01,1.00001751e+06
909,927,928,979,978,9.99998921e+05,6.29679448e-01,-1.03183121e+00,9.99998607e+05
910,928,929,980,979,9.99997417e+05,-1.43062654e-01,8.75332427e-01,9.99997489e+05
911,929,930,981,980,9.99998859e+05,-4.13185290e-02,5.07342864e-01,9.99998879e+05
912,930,931,982,981,9.99999718e+05,-2.84969908e-02,1.62814744e-01,9.99999733e+05
913,931,932,983,982,9.99999989e+05,-3.77038391e-03,2.21209863e-02,9.99999990e+05
914,932,933,984,983,1.00000003e+06,-6.29280384e-05,-6.72701290e-03,1.00000003e+06
915,933,934,985,984,1.00000001e+06,7.14440308e-04,-5.88827205e-03,1.00000001e+06
916,934,935,986,985,1.00000000e+06,2.82726523e-04,-2.14616422e-03,1.00000000e+06
917,935,936,987,986,1.00000000e+06,7.92554997e-05,-4.11477488e-04,1.00000000e+06
918,936,937,988,987,1.00000000e+06,3.20058754e-06,3.60553664e-05,1.00000000e+06
919,937,938,989,988,1.00000000e+06,-6.11544921e-06,6.34404531e-05,1.00000000e+06
920,938,939,990,989,1.00000000e+06,-3.65994719e-06,2.74005483e-05,1.00000000e+06
921,939,940,991,990,1.00000000e+06,-1.06032842e-06,6.48617923e-06,1.00000000e+06
922,940,941,992,991,1.00000000e+06,-1.30066256e-07,1.58321860e-07,1.00000000e+06
923,941,942,993,992,1.00000000e+06,5.04458541e-08,-6.77631245e-07,1.00000000e+06
924,942,943,994,993,1.00000000e+06,3.61739591e-08,-3.88786494e-07,1.00000000e+06
925,943,944,995,994,1.00000000e+06,1.27366385e-08,-1.35882003e-07,1.00000000e+06
926,944,945,996,995,1.00000000e+06,-9.04268608e-10,-5.32490520e-08,1.00000000e+06
927,945,946,997,996,1.00000000e+06,1.23827855e-08,-1.29416861e-08,1.00000000e+06
928,946,947,998,997,1.00000000e+06,-1.35556455e-08,4.78899397e-09,1.00000000e+06
929,947,948,999,998,1.00000000e+06,6.27099606e-09,9.66920687e-09,1.00000000e+06
930,948,949,1000,999,1.00000000e+06,-2.61188690e-10,-6.89843179e-09,1.00000000e+06
931,949,950,1001,1000,1.00000000e+06,-2.30676900e-09,-1.63623961e-08,1.00000000e+06
932,950,951,1002,1001,1.00000000e+06,1.32494595e-08,-1.45608221e-08,1.00000000e+06
933,951,952,1003,1002,1.00000000e+06,-9.51250167e-09,-8.35793472e-09,1.00000000e+06
934,952,953,1004,1003,1.00000000e+06,4.26700654e-09,1.38310707e-08,1.00000000e+06
935,953,954,1005,1004,1.00000000e+06,-5.03882396e-09,9.54378084e-09,1.00000000e+06
936,954,955,1006,1005,1.00000000e+06,3.94640220e-09,-1.61571535e-08,1.00000000e+06
937,955,956,1007,1006,1.00000000e+06,3.48351413e-09,-3.20520525e-08,1.00000000e+06
938,956,957,1008,1007,1.00000000e+06,-7.03913081e-09,-2.05356622e-08,1.00000000e+06
939,957,958,1009,1008,1.00000000e+06,1.99137628e-09,-2.82892715e-08,1.00000000e+06
940,958,959,1010,1009,1.00000000e+06,1.00305043e-08,-1.34661950e-08,1.00000000e+06
941,959,960,1011,1010,1.00000000e+06,-6.14198135e-09,-3.03302951e-09,1.00000000e+06
